name,onlineorder,booktable,location,cuisines,cost,type,city,Mean Rating
Rs Shiv Sagar,FALSE,FALSE,Basavanagudi,North Indian Chinese South Indian Fast Food Juices,450,Dineout,Banashankari,38
Pramukh Family Restaurant,FALSE,FALSE,Basavanagudi,North Indian Chinese Mughlai,700,Dineout,Banashankari,371
Chaatimes,TRUE,FALSE,Basavanagudi,Street Food Fast Food,200,Dineout,Banashankari,34
Vybhava,FALSE,FALSE,Jayanagar,South Indian North Indian,250,Dineout,Banashankari,358
Shree Venkateshwara North Karnataka Hotel,FALSE,FALSE,Basavanagudi,South Indian,200,Dineout,Banashankari,384
Harshi Super Sandwich,FALSE,FALSE,Basavanagudi,Fast Food Street Food,150,Dineout,Banashankari,358
Belly Squad Food Truck,FALSE,FALSE,South Bangalore,Chinese Rolls Biryani Momos,300,Dineout,Banashankari,358
Jcubez,FALSE,TRUE,Banashankari,Finger Food,13,Drinks  nightlife,Banashankari,358
Gustoes Beer House,FALSE,FALSE,Banashankari,Continental Italian Mexican North Indian Chinese Steak,12,Drinks  nightlife,Banashankari,397
Vi RaS Bar And Restaurant,FALSE,FALSE,Banashankari,South Indian North Indian Chinese,800,Drinks  nightlife,Banashankari,294
Darbar,FALSE,FALSE,Banashankari,North Indian Chinese,800,Drinks  nightlife,Banashankari,255
Soho Bar  Grill,FALSE,FALSE,Basavanagudi,North Indian Chinese Thai,11,Drinks  nightlife,Banashankari,216
Fattoush,TRUE,TRUE,Bannerghatta Road,Arabian Biryani Chinese Middle Eastern Fast Food North Indian Mughlai Seafood,1,Buffet,Bannerghatta Road,41
Empire Restaurant,TRUE,FALSE,Bannerghatta Road,North Indian Mughlai South Indian Chinese,750,Buffet,Bannerghatta Road,389
Abhiruchi Hotel,TRUE,FALSE,Bannerghatta Road,Andhra Biryani North Indian Chinese,550,Buffet,Bannerghatta Road,313
Barbeque Nation,FALSE,TRUE,JP Nagar,North Indian European Mediterranean BBQ Kebab,16,Buffet,Bannerghatta Road,452
Sattvam,FALSE,FALSE,JP Nagar,North Indian South Indian,12,Buffet,Bannerghatta Road,425
24Th Main,FALSE,TRUE,JP Nagar,North Indian South Indian Chinese,800,Buffet,Bannerghatta Road,397
Zaitoon,TRUE,TRUE,JP Nagar,BBQ Arabian Chinese North Indian Desserts,1,Buffet,Bannerghatta Road,402
Oye Amritsar,TRUE,TRUE,JP Nagar,North Indian,1,Buffet,Bannerghatta Road,379
Melt  Eden Park,TRUE,TRUE,JP Nagar,North Indian Chinese Thai Mughlai Seafood,1,Buffet,Bannerghatta Road,384
Spice Code,FALSE,TRUE,JP Nagar,South Indian North Indian Chinese Biryani,1,Buffet,Bannerghatta Road,374
Sankranthi Veg Restaurant,TRUE,FALSE,BTM,South Indian North Indian Chinese,600,Buffet,Bannerghatta Road,255
Cafe Kabana,FALSE,TRUE,Bannerghatta Road,Cafe Continental,700,Cafes,Bannerghatta Road,384
Butterly,TRUE,FALSE,Bannerghatta Road,Cafe Bakery Beverages,450,Cafes,Bannerghatta Road,371
Black Mug Cafe,TRUE,FALSE,Bannerghatta Road,Cafe,300,Cafes,Bannerghatta Road,345
Refuel,TRUE,FALSE,Bannerghatta Road,Cafe Beverages,400,Cafes,Bannerghatta Road,345
Wafl,TRUE,FALSE,Bannerghatta Road,Cafe Fast Food Desserts Beverages,400,Cafes,Bannerghatta Road,381
Dreamcatcher,TRUE,FALSE,Bannerghatta Road,Cafe,600,Cafes,Bannerghatta Road,371
Cafe Arabica,FALSE,FALSE,Bannerghatta Road,Cafe Bakery,700,Cafes,Bannerghatta Road,365
Kalmane Koffees,FALSE,FALSE,Bannerghatta Road,Cafe,350,Cafes,Bannerghatta Road,361
Brews N Bites,TRUE,FALSE,Bannerghatta Road,Chinese Fast Food Cafe Street Food Finger Food,650,Cafes,Bannerghatta Road,235
Slate Cafe,TRUE,FALSE,JP Nagar,Cafe Sandwich Burger,600,Cafes,Bannerghatta Road,397
Dialogues,FALSE,FALSE,JP Nagar,Cafe Continental,600,Cafes,Bannerghatta Road,393
Mudpipe Cafe,TRUE,TRUE,JP Nagar,Cafe Continental North Indian,800,Cafes,Bannerghatta Road,42
Tab  Take A Break,FALSE,FALSE,JP Nagar,Cafe Continental Italian,550,Cafes,Bannerghatta Road,397
Biggies Burger N More,TRUE,FALSE,JP Nagar,Cafe Burger Beverages,650,Cafes,Bannerghatta Road,377
Onesta,TRUE,TRUE,JP Nagar,Pizza Cafe Italian,600,Cafes,Bannerghatta Road,437
