name,onlineorder,booktable,rate,location,cuisines,cost,type,city,Mean Rating
Jalsa,TRUE,TRUE,41,Banashankari,North Indian Mughlai Chinese,800,Buffet,Banashankari,399
Spice Elephant,TRUE,FALSE,41,Banashankari,Chinese North Indian Thai,800,Buffet,Banashankari,397
San Churro Cafe,TRUE,FALSE,38,Banashankari,Cafe Mexican Italian,800,Buffet,Banashankari,358
Addhuri Udupi Bhojana,FALSE,FALSE,37,Banashankari,South Indian North Indian,300,Buffet,Banashankari,345
Grand Village,FALSE,FALSE,38,Basavanagudi,North Indian Rajasthani,600,Buffet,Banashankari,358
Timepass Dinner,TRUE,FALSE,38,Basavanagudi,North Indian,600,Buffet,Banashankari,358
Onesta,TRUE,TRUE,46,Banashankari,Pizza Cafe Italian,600,Cafes,Banashankari,437
Penthouse Cafe,TRUE,FALSE,4,Banashankari,Cafe Italian Continental,700,Cafes,Banashankari,384
Smacznego,TRUE,FALSE,42,Banashankari,Cafe Mexican Italian Momos Beverages,550,Cafes,Banashankari,41
Cafe Down The Alley,TRUE,FALSE,41,Banashankari,Cafe,500,Cafes,Banashankari,397
Cafe Shuffle,TRUE,TRUE,42,Banashankari,Cafe Italian Continental,600,Cafes,Banashankari,41
The Coffee Shack,TRUE,TRUE,42,Banashankari,Cafe Chinese Continental Italian,500,Cafes,Banashankari,41
CafEleven,FALSE,FALSE,4,Banashankari,Cafe Continental,450,Cafes,Banashankari,384
San Churro Cafe,TRUE,FALSE,38,Banashankari,Cafe Mexican Italian,800,Cafes,Banashankari,358
Cafe Vivacity,TRUE,FALSE,38,Banashankari,Cafe,650,Cafes,Banashankari,358
CatchUpIno,TRUE,FALSE,39,Banashankari,Cafe Fast Food Continental Chinese Momos,800,Cafes,Banashankari,371
KirthiS Biryani,TRUE,FALSE,38,Banashankari,Chinese Cafe Italian,700,Cafes,Banashankari,358
T3H Cafe,FALSE,FALSE,39,Banashankari,Cafe Italian American,300,Cafes,Banashankari,371
The Vintage Cafe,TRUE,FALSE,3,Banashankari,Cafe French North Indian,400,Cafes,Banashankari,255
Woodee Pizza,TRUE,FALSE,37,Banashankari,Cafe Pizza Fast Food Beverages,500,Cafes,Banashankari,236
