Name,Value
 Biryani Central,0
 1131 Bar  Kitchen,1
 12Th Main  Grand Mercure,2
 1441 Pizzeria,3
 1522  The Pub,4
 154 Breakfast Club,5
 1722 Urban Bistro,6
1947,7
 1980S Games Cafe,8
 1Q1,9
 2 Statez,10
 20 Char  Sterlings Mac Hotel,11
 20 Feet High,12
 2443  The Oterra,13
 247  The Lalit Ashok Bangalore,14
 24Th Main,15
 29 Degrees North,16
 3 Leafs,17
 3 Spice,18
 30 Square,19
 36Th Cross Coffee Mane,20
 3BS  Buddies Bar  Barbecues,21
 3GS  Gulp  Groove,22
 4 Seasons Restaurant,23
 4700Bc Popcorn,24
 4Th Tea Block,25
 55 Wall Street,26
 56 Bhoga Sweets,27
 7 Days Restaurant,28
 7 Plates,29
 70 Brigade  Iris Hotel,30
 99 Caffe,31
 99 Pancakes,32
 9D Foods,33
 A 1 Pizza And Food,34
 A Hole Lotta Love Cafe,35
 A2B  Adyar Ananda Bhavan,36
 A2B Veg  Adyar Ananda Bhavan,37
 Aagaman Veg,38
 Aaha,39
 Aaha Andhra,40
 Aahar Vihar,41
 Aaharam,42
 Aalishan Restaurant  Caterer,43
 Aami Bangali,44
 Aapni Rasoi,45
 Aaranya Restaurant,46
 Aashish Foods,47
 Aasife  Brothers Biriyani Centre,48
 Aathurar,49
 AbS  Absolute Barbecues,50
 Abbabi Chicken,51
 Abc Grand,52
 Abhiruchi,53
 Abhiruchi Andhra Mess,54
 Abhiruchi Hotel,55
 Abhiruchi Restaurant,56
 Absolute Chinese,57
 Absolute Shawarma,58
 Absolute Waffles,59
 AchayyanS,60
 Ackley Kitchen,61
 Addhuri Udupi Bhojana,62
 Adithya,63
 Adukkala Restaurant,64
 Agent JackS Bar,65
 Agraharam Meal,66
 Aioli,67
 Airlines Hotel,68
 Ajwa Thalassery Biryani,69
 Akkad Bakkad,70
 Akshara,71
 Akshaya Deluxe,72
 Akss  India Reimagined,73
 Al Amanah Cafe,74
 Al Daaz,75
 Al Karim,76
 Al Khansah,77
 Al Sadique,78
 AlBadia Restaurant,79
 AlBek,80
 Alampur Bar And Restaurant,81
 Alankrutha,82
 Alba  Jw Marriott Bengaluru,83
 Albert Bakery,84
 Alchemy  The Chancery Pavilion,85
 Alchemy Coffee Roasters,86
 Alfresco By Bene Sheraton Grand Bangalore Hotel At,87
 Alibaba Cafe And Restaurant,88
 Alibi  Maya International Hotel,89
